Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,¤363 Sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
"Ames Department Stores, Inc. (1990)",G: Retail Trade,53 General Merchandise Stores,Not tort,4/25/90,confirmed,no 363 sale,968,DE,NY SD,New York,Forum Shop,debtors,free fall,"55,000",Company emerged,"emerged 5 years, did not refile",CT Hartford,12/18/92,b $1 billion but less than $10 billion,"a 30,000 and over","$4,353,169,199 ","$4,589 ",Chapter 11,Skadden Arps
"Ames Department Stores, Inc. (2001)",G: Retail Trade,53 General Merchandise Stores,Not tort,8/20/01,confirmed,363 sale,"4,468",DE,NY SD,New York,Forum Shop,debtors,free fall,"32,700",company did not emerge,not emerged 5 years,CT Hartford,11/13/13,b $1 billion but less than $10 billion,"a 30,000 and over","$5,801,746,515 ","$2,929 ",Chapter 11,Weil Gotshal
"AMF Bowling Worldwide, Inc.",I: Services,79 Amusement And Recreation Services,Not tort,7/2/01,confirmed,no 363 sale,214,DE,VA ED,Richmond,Filed at headquarters,debtors,free fall,"17,280",Company emerged,"emerged 5 years, did not refile",VA Richmond,2/1/02,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$1,049,234,763 ","$2,533 ",Chapter 11,Willkie Farr
Ampal-American Israel Corporation,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,8/29/12,converted,no 363 sale,246,NY,NY SD,New York,Filed at headquarters,debtors,free fall,"1,008",company did not emerge,not emerged 5 years,NY New York,5/2/13,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$650,497,010 ",$957 ,Chapter 11,Bryan Cave
AMR Corporation,"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,11/29/11,confirmed,no 363 sale,692,DE,NY SD,New York,Forum Shop,debtors,free fall,"78,250",company did not emerge,not emerged 5 years,TX Fort Worth,10/21/13,a $10 billion and over,"a 30,000 and over","$25,525,830,261 ","$28,886 ",Chapter 11,Weil Gotshal
"AMRESCO, Inc.","H: Finance, Insurance, And Real Estate","62 Security And Commodity Brokers, Dealers, Exchanges, And Services",Not tort,7/2/01,confirmed,363 sale,385,DE,TX ND,Dallas,Filed at headquarters,debtors,free fall,208,company did not emerge,not emerged 5 years,TX Dallas,7/22/02,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$250,432,177 ","$1,049 ",Chapter 11,Haynes Boone
Amwest Insurance Group Inc.,"H: Finance, Insurance, And Real Estate",63 Insurance Carriers,Not tort,7/24/01,converted,no 363 sale,983,DE,CA CD,Woodland Hills,Filed at headquarters,debtors,free fall,520,company did not emerge,not emerged 5 years,CA Woodland Hills,4/2/04,d Less than $500 million,"d 200 but less than 1,000","$179,030,017 ",$355 ,Chapter 11,Malhotra Malhotra
"Anacomp, Inc.",D: Manufacturing,"38 Measuring, Analyzing and Controlling Instruments; Photographic, Medical",Not tort,1/5/96,confirmed,no 363 sale,136,IN,DE,Wilmington,Forum Shop,debtors,prenegotiated,"3,600",Company emerged,"emerged 5 years, did not refile",IN Indianapolis,5/20/96,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$997,340,438 ",$710 ,Chapter 11,Cadwalader Wickersham
ANC Rental Corp.,I: Services,"75 Automotive Repair, Services, and Parking",Not tort,11/13/01,confirmed,363 sale,884,DE,DE,Wilmington,Forum Shop,debtors,free fall,"20,000",Company emerged,"emerged 5 years, did not refile",FL Fort Lauderdale,4/15/04,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$5,185,987,418 ","$9,599 ",Chapter 11,Fried Frank
Anchor BanCorp Wisconsin Inc.,"H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,8/12/13,confirmed,no 363 sale,18,WI,WI WD,Madison,Filed at headquarters,debtors,prepackaged,690,Company emerged,"emerged 5 years, did not refile",WI Madison,8/30/13,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$162,361,759 ","$2,637 ",Chapter 11,Kerkman Dunn
Anchor Glass Container Corp. (1996),D: Manufacturing,"32 Stone, Clay, Glass, And Concrete Products",Not tort,9/13/96,confirmed,363 sale,438,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"5,700",Company emerged,"emerged 5 years, did not refile",FL Tampa,11/25/97,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,579,084,835 ","$1,995 ",Chapter 11,Stroock Stroock
Anchor Glass Container Corp. (2002),D: Manufacturing,"32 Stone, Clay, Glass, And Concrete Products",Not tort,4/15/02,confirmed,no 363 sale,115,DE,FL MD,Tampa,Filed at headquarters,debtors,prenegotiated,"2,950",Company emerged,"emerged 5 years, refiled",FL Tampa,8/8/02,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,017,268,314 ",$777 ,Chapter 11,no data
Anchor Glass Container Corporation (2005),D: Manufacturing,"32 Stone, Clay, Glass, And Concrete Products",Not tort,8/8/05,confirmed,no 363 sale,253,DE,FL MD,Tampa,Filed at headquarters,debtors,free fall,"2,840",Company emerged,"emerged 5 years, did not refile",FL Tampa,4/18/06,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$990,514,718 ",$872 ,Chapter 11,Carlton Fields
Angeles Corp.,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,5/3/93,confirmed,no 363 sale,697,CA,CA CD,Los Angeles,Filed at headquarters,debtors,free fall,805,Company emerged,"emerged 5 years, did not refile",CA Los Angeles,3/31/95,c $500 million but less than $1billion,"d 200 but less than 1,000","$84,142,856 ",$525 ,Chapter 11,Stutman Treister
"Anglo Energy, Ltd. (1983)",B: Mining,13 Oil And Gas Extraction,Not tort,11/4/83,confirmed,no 363 sale,865,Bahamas,NY SD,New York,Filed at headquarters,debtors,free fall,860,Company emerged,"emerged 5 years, refiled",NY New York,3/18/86,c $500 million but less than $1billion,"d 200 but less than 1,000","$386,953,174 ",$591 ,Chapter 11,Cleary Gottlieb
"Anicom, Inc.",F: Wholesale Trade,50 Wholesale Trade-durable Goods,Fraud,1/5/01,confirmed,no 363 sale,"1,713",DE,IL ND,Chicago,Filed at headquarters,debtors,free fall,"1,088",company did not emerge,not emerged 5 years,IL Chicago,9/14/05,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$798,826,602 ",$571 ,Chapter 11,Katten Muchin
"Anthracite Capital, Inc.","H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,3/15/10,Chapter 7 at filing,Chapter 7 at filing,,MD,NY SD,New York,Filed at headquarters,debtors,not applicable,1,company did not emerge,not emerged 5 years,NY New York,,b $1 billion but less than $10 billion,e Less than 200,"$417,906,668 ","$4,580 ",Chapter 7,Skadden Arps
"AP Industries, Inc.",D: Manufacturing,37 Transportation Equipment,Not tort,3/29/90,confirmed,no 363 sale,,DE,NJ,Newark,Forum Shop,creditors,free fall,"2,688",company did not emerge,not emerged 5 years,OH Toledo,,d Less than $500 million,"c 1,000 but less than 10,000","$279,680,669 ",$388 ,Chapter 11,Anderson Russell
Apex Silver Mines Limited,B: Mining,10 Metal Mining,Not tort,1/12/09,confirmed,no 363 sale,51,Cayman Islands,NY SD,New York,Forum Shop,debtors,prenegotiated,"1,060",Company emerged,"emerged 5 years, did not refile",Outside United States,3/4/09,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$517,631,306 ",$748 ,Chapter 11,Cleary Gottlieb
Appletree Markets Inc.,G: Retail Trade,54 Food Stores,Not tort,1/2/92,confirmed,no 363 sale,271,DE,TX SD,Houston,Filed at headquarters,debtors,free fall,"7,260",Company emerged,"emerged 5 years, did not refile",TX Houston,9/29/92,d Less than $500 million,"c 1,000 but less than 10,000","$1,580,573,584 ",$462 ,Chapter 11,Sheinfeld Maley
"Applied Extrusion Technologies, Inc.",D: Manufacturing,30 Rubber and Miscellaneous Plastics Products,Not tort,12/1/04,confirmed,no 363 sale,54,DE,DE,Wilmington,Filed at headquarters,debtors,prepackaged,940,Company emerged,"emerged 5 years, did not refile",DE Wilmington,1/24/05,c $500 million but less than $1billion,"d 200 but less than 1,000","$363,460,465 ",$558 ,Chapter 11,Shearman Sterling
Applied Magnetics Corporation,D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,1/7/00,confirmed,no 363 sale,668,DE,CA CD,Santa Barbara,Filed at headquarters,debtors,free fall,"5,200",Company emerged,"emerged 5 years, did not refile",CA Santa Barbara,11/5/01,d Less than $500 million,"c 1,000 but less than 10,000","$283,929,005 ",$463 ,Chapter 11,Stutman Treister
Approach Resources Inc.,B: Mining,13 Oil And Gas Extraction,Not tort,11/18/19,confirmed,363 sale,394,DE,TX SD,Houston,Forum Shop,debtors,free fall,99,company did not emerge,not emerged 5 years,TX Fort Worth,12/16/20,b $1 billion but less than $10 billion,e Less than 200,"$115,483,004 ","$1,098 ",Chapter 11,Thompson Knight
APS Holding Corp.,F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,2/2/98,confirmed,363 sale,624,DE,DE,Wilmington,Forum Shop,debtors,free fall,"5,400",Company emerged,"emerged 5 years, did not refile",TX Houston,10/19/99,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,307,840,115 ",$784 ,Chapter 11,Willkie Farr
APW Ltd.,F: Wholesale Trade,50 Wholesale Trade-durable Goods,Not tort,5/16/02,confirmed,no 363 sale,68,Bermuda,NY SD,New York,Forum Shop,debtors,prepackaged,"8,200",Company emerged,"emerged 5 years, did not refile",WI Milwaukee,7/23/02,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,836,501,056 ","$1,889 ",Chapter 11,Weil Gotshal
Aralez Pharmaceuticals Inc.,D: Manufacturing,28 Chemicals and Allied Products,Not tort,8/10/18,confirmed,363 sale,270,Canada,NY SD,New York,Forum Shop,debtors,free fall,164,company did not emerge,not emerged 5 years,Outside United States,5/7/19,d Less than $500 million,e Less than 200,"$109,446,269 ",$468 ,Chapter 11,Willkie Farr
"Arch Coal, Inc.",B: Mining,12 Coal Mining,Not tort,1/11/16,confirmed,no 363 sale,246,DE,MO ED,,,,,,,,,,,,,,,
ireless Inc.,"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,11/9/01,confirmed,no 363 sale,186,DE,MA,Worcester,Filed at headquarters,creditors,free fall,"8,350",Company emerged,"emerged 5 years, did not refile",MA Worcester,5/14/02,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,249,658,520 ","$3,391 ",Chapter 11,Hale Dorr
"Arm Financial Group, Inc.","H: Finance, Insurance, And Real Estate",63 Insurance Carriers,Not tort,12/20/99,confirmed,363 sale,245,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,300,company did not emerge,not emerged 5 years,KY Louisville,8/21/00,a $10 billion and over,"d 200 but less than 1,000","$196,499,233 ","$15,146 ",Chapter 11,no data
"Armstrong Energy, Inc.",B: Mining,12 Coal Mining,Not tort,11/1/17,confirmed,no 363 sale,93,DE,MO ED,St. Louis,Filed at headquarters,debtors,prenegotiated,637,company did not emerge,not emerged 5 years,MO St. Louis,2/2/18,d Less than $500 million,"d 200 but less than 1,000","$268,111,800 ",$353 ,Chapter 11,Kirkland Ellis
"Armstrong World Industries, Inc.",D: Manufacturing,30 Rubber and Miscellaneous Plastics Products,Asbestos,12/6/00,confirmed,no 363 sale,"2,081",PA,DE,Wilmington,Forum Shop,debtors,free fall,"18,300",Company emerged,"emerged 5 years, did not refile",PA Reading,8/18/06,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$5,155,289,432 ","$6,234 ",Chapter 11,Weil Gotshal
"Ascena Retail Group, Inc.",G: Retail Trade,56 Apparel And Accessory Stores,Not tort,7/23/20,pending,case pending,,DE,VA ED,Richmond,Forum Shop,debtors,prenegotiated,"53,000",case pending,not emerged 5 years,NJ Newark,,b $1 billion but less than $10 billion,"a 30,000 and over","$5,522,510,031 ","$2,714 ",Chapter 11,Kirkland Ellis
"Asia Global Crossing, Ltd.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,11/17/02,converted,363 sale,206,Bermuda,NY SD,New York,Forum Shop,debtors,free fall,150,company did not emerge,not emerged 5 years,Outside United States,6/11/03,b $1 billion but less than $10 billion,e Less than 200,"$221,252,046 ","$5,218 ",Chapter 11,Kasowitz Benson
Aspect Software Parent Inc.,I: Services,73 Business Services,Not tort,3/9/16,confirmed,no 363 sale,77,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"1,458",Company emerged,not emerged 5 years,AZ Phoenix,5/25/16,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$486,638,088 ","$1,041 ",Chapter 11,Kirkland Ellis
"Assisted Living Concepts, Inc.",I: Services,80 Health Services,Not tort,10/1/01,confirmed,no 363 sale,65,NV,DE,Wilmington,Forum Shop,debtors,prenegotiated,"3,613",Company emerged,"emerged 5 years, did not refile",OR Portland,12/5/01,d Less than $500 million,"c 1,000 but less than 10,000","$204,333,571 ",$493 ,Chapter 11,Latham Watkins
"Asyst Technologies, Inc.",D: Manufacturing,35 Industrial and Commercial Machinery and Computer Equipment,Not tort,4/20/09,confirmed,363 sale,304,CA,CA ND,Oakland,Filed at headquarters,debtors,free fall,"1,367",company did not emerge,not emerged 5 years,CA Oakland,2/18/10,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$558,610,439 ",$545 ,Chapter 11,Baker McKenzie
At Home Corp,I: Services,73 Business Services,Not tort,9/28/01,confirmed,363 sale,321,DE,CA ND,San Francisco,Filed at headquarters,debtors,free fall,"2,987",company did not emerge,not emerged 5 years,CA San Francisco,8/15/02,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$900,483,307 ","$3,078 ",Chapter 11,O'Melveny Myers
AT&T Latin America Corp.,"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,4/11/03,confirmed,363 sale,290,DE,FL SD,Miami,Filed at headquarters,creditors,free fall,"1,063",company did not emerge,not emerged 5 years,FL Miami,1/26/04,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$234,671,769 ",$757 ,Chapter 11,Latham Watkins
ATA Holdings Corp.,"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,10/26/04,confirmed,no 363 sale,462,IN,IN SD,Indianapolis,Filed at headquarters,debtors,free fall,"7,900",Company emerged,"emerged 5 years, refiled",IN Indianapolis,1/31/06,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,071,966,289 ","$1,187 ",Chapter 11,Baker Daniels
Atchison Casting Corp.,D: Manufacturing,33 Primary Metal Industries,Not tort,8/4/03,converted,363 sale,171,KS,MO WD,"Kansas City, MO",Forum Shop,debtors,free fall,"3,000",Company emerged,"emerged 5 years, did not refile",KS Kansas City,1/22/04,d Less than $500 million,"c 1,000 but less than 10,000","$547,475,146 ",$380 ,Chapter 11,Bryan Cave
Atlantic Express Transportation Corp.,"E: Transportation, Communications, Electric, Gas",41 Local And Suburban Transit And Interurban Highway Passenger Transportati,Not tort,8/16/02,confirmed,no 363 sale,384,NY,NY SD,New York,Forum Shop,debtors,free fall,"9,000",Company emerged,"emerged 5 years, did not refile",NY Brooklyn,9/4/03,d Less than $500 million,"c 1,000 but less than 10,000","$637,130,647 ",$499 ,Chapter 11,Stroock Stroock
Atlas Air Worldwide Holdings Inc.,"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,1/30/04,confirmed,no 363 sale,166,DE,FL SD,Miami,Forum Shop,debtors,prenegotiated,"1,931",Company emerged,"emerged 5 years, did not refile",NY White Plains,7/14/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,946,031,915 ","$1,970 ",Chapter 11,Haynes Boone
"Atlas Resource Partners, L.P.",B: Mining,13 Oil And Gas Extraction,Not tort,7/27/16,confirmed,no 363 sale,30,DE,NY SD,New York,Forum Shop,debtors,prepackaged,619,Company emerged,not emerged 5 years,PA Pittsburgh,8/26/16,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$801,067,854 ","$1,874 ",Chapter 11,Skadden Arps
ATP Oil & Gas Corporation,B: Mining,13 Oil And Gas Extraction,Not tort,8/17/12,converted,no 363 sale,678,TX,TX SD,Houston,Filed at headquarters,debtors,free fall,68,company did not emerge,not emerged 5 years,TX Houston,6/26/14,b $1 billion but less than $10 billion,e Less than 200,"$776,979,745 ","$3,831 ",Chapter 11,Mayer Brown
Audio Visual Services Corp.,I: Services,73 Business Services,Not tort,12/17/01,confirmed,no 363 sale,65,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,"2,968",Company emerged,"emerged 5 years, did not refile",CA Los Angeles,2/20/02,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$619,123,260 ",$610 ,Chapter 11,Schulte Roth
Aurora Foods Inc.,D: Manufacturing,20 Food and Kindred Products,Fraud?,12/8/03,confirmed,no 363 sale,74,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,"1,650",company did not emerge,not emerged 5 years,MO St. Louis,2/20/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,090,894,226 ","$1,769 ",Chapter 11,Skadden Arps
Avado Brands Inc.,G: Retail Trade,58 Eating and Drinking Places,Not tort,2/4/04,confirmed,no 363 sale,442,GA,TX ND,Dallas,Forum Shop,debtors,free fall,"12,500",Company emerged,"emerged 5 years, refiled",GA Athens,4/21/05,d Less than $500 million,"b 10,000 but less than 30,000","$618,310,999 ",$421 ,Chapter 11,Skadden Arps
Avaya Inc.,D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,1/19/17,confirmed,no 363 sale,313,DE,NY SD,New York,Forum Shop,debtors,free fall,"11,701",Company emerged,not emerged 5 years,CA San Jose,11/28/17,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$4,377,362,755 ","$7,360 ",Chapter 11,Kirkland Ellis
"Aventine Renewable Energy Holdings, Inc.",D: Manufacturing,28 Chemicals and Allied Products,Not tort,4/7/09,confirmed,no 363 sale,323,DE,DE,Wilmington,Forum Shop,debtors,free fall,346,Company emerged,"emerged 5 years, did not refile",IL Peoria,2/24/10,c $500 million but less than $1billion,"d 200 but less than 1,000","$2,746,829,056 ",$977 ,Chapter 11,Young Conaway
