index,Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,363sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
265,Coram Healthcare Corp.,I: Services,80 Health Services,Not tort,2000-08-08,confirmed,no 363 sale,1541.0,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,2600.0,Company emerged,"emerged 5 years, did not refile",CO Denver,2004-10-27,c $500 million but less than $1billion,"c 1,000 but less than 10,000",785636614.0,608.0,Chapter 11,Kasowitz Benson
266,"Corinthian Colleges, Inc.",I: Services,82 Educational Services,Other tort,2015-05-04,confirmed,363 sale,116.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,15200.0,company did not emerge,not emerged 5 years,CA Santa Ana,2015-08-28,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000",1752746146.0,1127.0,Chapter 11,Richards Layton
267,"Cornerstone Propane Partners, L.P.",G: Retail Trade,59 Miscellaneous Retail,Not tort,2004-06-03,confirmed,no 363 sale,158.0,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,2206.0,Company emerged,"emerged 5 years, did not refile",CA San Jose,2004-11-08,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",5775190532.0,1193.0,Chapter 11,Kirkland Ellis
268,"Corus Bankshares, Inc.","H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,2010-06-15,confirmed,no 363 sale,469.0,MN,IL ND,Chicago,Filed at headquarters,debtors,free fall,521.0,company did not emerge,not emerged 5 years,IL Chicago,2011-09-27,b $1 billion but less than $10 billion,"d 200 but less than 1,000",158119961.0,9982.0,Chapter 11,Kirkland Ellis
269,"Costilla Energy, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,1999-09-03,confirmed,363 sale,378.0,DE,TX WD,Midland-Odessa,Filed at headquarters,debtors,free fall,118.0,company did not emerge,not emerged 5 years,TX Midland,2000-09-15,d Less than $500 million,e Less than 200,98669847.0,327.0,Chapter 11,Sheinfeld Maley
270,"County Seat, Inc.",G: Retail Trade,56 Apparel And Accessory Stores,Not tort,1996-10-17,confirmed,no 363 sale,349.0,DE,DE,Wilmington,Forum Shop,debtors,free fall,,Company emerged,"emerged 5 years, refiled",TX Dallas,1997-10-01,d Less than $500 million,f Data Not Available,,360.0,Chapter 11,Skadden Arps
271,"Covad Communications Group, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,2001-08-15,confirmed,no 363 sale,120.0,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,2300.0,Company emerged,"emerged 5 years, did not refile",CA San Jose,2001-12-13,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",232885768.0,2218.0,Chapter 11,Pachulski Stang
272,Covanta Energy Corp.,"E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,2002-04-01,confirmed,no 363 sale,704.0,DE,NY SD,New York,Forum Shop,debtors,free fall,4700.0,Company emerged,"emerged 5 years, did not refile",NJ Newark,2004-03-05,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",1477661179.0,4615.0,Chapter 11,Cleary Gottlieb
273,Covia Holdings Corporation,B: Mining,"14 Mining and Quarrying of Nonmetallic Minerals, Except Fuels",Not tort,2020-06-29,confirmed,no 363 sale,168.0,DE,TX SD,Houston,Forum Shop,debtors,prenegotiated,2633.0,Company emerged,not emerged 5 years,OH Cleveland,2020-12-14,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000",1612013334.0,2472.0,Chapter 11,Kirkland Ellis
274,Creditrust Corporation,I: Services,73 Business Services,Not tort,2000-06-21,confirmed,no 363 sale,211.0,MD,MD,Baltimore,Filed at headquarters,debtors,free fall,900.0,company did not emerge,not emerged 5 years,MD Baltimore,2001-01-18,d Less than $500 million,"d 200 but less than 1,000",122416737.0,371.0,Chapter 11,Swidler Berlin
